3040,2760,3670,3430,5510,-390,-920,-60,can
3580,2670,3450,3590,5700,-500,-790,120,can
3460,2660,3290,3490,5830,-590,-790,10,can
3430,1490,3270,3460,5610,-980,210,40,you
3540,1520,3210,3230,5470,-960,200,40,you
3580,1510,3800,4890,5860,-990,100,100,you
2330,2220,3090,3120,4220,-460,-810,180,me
2440,2390,3030,3150,4400,-580,-740,290,me
2410,2150,2920,2990,3750,-580,-750,290,me
3730,1570,2340,2150,2490,-250,980,40,we
3700,1550,2380,2100,2490,-280,960,20,we
3670,1580,2360,2200,2470,-290,970,10,we
2360,1490,2360,2070,2330,-290,980,-10,so
2380,1530,2360,2110,2340,-280,990,-20,so
2400,1530,2370,2210,2360,-250,990,10,so
2210,1520,2360,2830,2370,90,-210,960,hello
2330,1540,2390,2310,2360,-240,-220,920,hello
2350,1530,2390,2520,2360,-240,-250,920,hello
3760,1550,2380,2530,2420,-370,300,870,thank you
3710,1540,2370,2270,2490,-370,320,870,thank you
3640,1540,2370,2240,2470,-250,310,890,thank you
2210,2140,2980,2640,4520,340,-80,920,hear
2120,2050,2880,2810,4050,370,-130,900,hear
2100,2090,2880,2660,4230,460,-50,870,hear
2480,1970,2850,2670,4150,-510,-800,260,me
2080,2290,3000,2630,2450,-990,70,140,call
2090,2530,3030,3350,2650,-970,40,-60,call
2140,2260,2840,3180,2500,-1020,90,-110,call
2420,1650,2350,2400,2520,-90,0,980,built
3040,1690,2430,2590,2350,-200,60,970,built
2770,1800,2500,2660,2710,-230,20,960,built
2650,1770,2470,2550,2450,-120,0,980,built
